ID,TARGET
2,0.037010196596384
5,0.0437489338219166
6,0.00355146755464375
7,0.0149672627449036
9,0.0035345375072211
11,0.213747024536133
12,0.0519276857376099
15,0.190447062253952
16,0.0294323712587357
17,0.0222341902554035
19,0.0257053412497044
21,0.00491027068346739
22,0.0133977457880974
24,0.012806037440896
27,0.0109291337430477
28,0.0183200053870678
30,0.110750429332256
33,0.00404414953663945
35,0.0168089494109154
37,0.0222083777189255
38,0.0197315886616707
40,0.181239426136017
41,0.0156590398401022
44,0.00636887643486261
46,0.0539364516735077
47,0.0149940429255366
48,0.00446198508143425
50,0.00562024163082242
52,0.124038048088551
53,0.0100829685106874
55,0.0269113425165415
57,0.00307917012833059
58,0.0116736348718405
59,0.0115023627877235
62,0.0276917032897472
63,0.0134420208632946
64,0.0176220294088125
65,0.0121116433292627
67,0.0154260350391269
69,0.0591691732406616
70,0.00475603016093373
71,0.0395725108683109
72,0.00573248555883765
73,0.00441306037828326
76,0.00475301826372743
78,0.0040382407605648
79,0.0359812788665295
81,0.0077515677548945
85,0.0151042034849524
86,0.00499902199953794
89,0.0321522504091263
94,0.100459918379784
96,0.00528010632842779
97,0.0241198688745499
98,0.00381706771440804
99,0.0170803628861904
100,0.240244790911674
103,0.140707165002823
104,0.00816628430038691
108,0.014953700825572
110,0.00344759784638882
112,0.0192405879497528
114,0.0258314572274685
116,0.0164116732776165
117,0.0191231910139322
119,0.00596546987071633
120,0.00449630664661527
121,0.00321278371848166
123,0.0219746213406324
124,0.0246907882392406
126,0.00261668395251036
128,0.0121646290645003
129,0.0954901650547981
133,0.0392230860888958
138,0.0217783711850643
147,0.0283109527081251
149,0.0236042495816946
158,0.00472366344183683
160,0.0121342111378908
164,0.055619589984417
167,0.0633674487471581
168,0.0285689290612936
174,0.0108725959435105
181,0.0192616060376167
185,0.0286603085696697
187,0.00572047149762511
189,0.0183443073183298
190,0.0551794208586216
194,0.00637704692780972
197,0.0284643564373255
198,0.0177076533436775
201,0.0386974550783634
205,0.00746214110404253
208,0.120207443833351
211,0.019227921962738
216,0.0346596501767635
219,0.0656182840466499
223,0.00794327538460493
224,0.128277391195297
226,0.0127449007704854
229,0.012055279687047
230,0.0235831029713154
237,0.0240717940032482
238,0.0233484916388988
240,0.063848577439785
243,0.00467033963650465
245,0.137499615550041
246,0.256645500659943
247,0.0105547113344073
248,0.00783250946551561
249,0.00450132973492146
250,0.247033625841141
251,0.00261668395251036
255,0.132603332400322
256,0.0161728523671627
257,0.0867635309696198
260,0.133350253105164
261,0.00828945357352495
263,0.196102038025856
264,0.15988002717495
